alpha,task,avg_latency_ms,avg_tardiness_ms,miss_rate,avg_utility,jobs
0.5,Task1,3.0,0.0,0.0,1.0,600
0.5,Task2,6.0,0.0,0.0,1.0,600
0.5,Task3,9.0,0.0,0.0,1.0,600
0.5,Task4,12.0,0.0,0.0,1.0,600
0.75,Task1,4.0,0.0,0.0,1.0,600
0.75,Task2,8.0,0.0,0.0,1.0,600
0.75,Task3,12.0,0.0,0.0,1.0,600
0.75,Task4,16.0,0.0,0.0,1.0,600
1.0,Task1,5.0,0.0,0.0,1.0,600
1.0,Task2,10.0,0.0,0.0,1.0,600
1.0,Task3,15.0,0.0,0.0,1.0,600
1.0,Task4,20.0,0.0,0.0,1.0,600
1.25,Task1,7.0,0.0,0.0,1.0,600
1.25,Task2,14.0,0.0,0.0,1.0,600
1.25,Task3,21.0,0.0,0.0,1.0,600
1.25,Task4,28.0,0.0,0.0,1.0,600
1.5,Task1,8.0,0.0,0.0,1.0,600
1.5,Task2,16.0,0.0,0.0,1.0,600
1.5,Task3,24.0,0.0,0.0,1.0,600
1.5,Task4,32.0,0.0,0.0,1.0,600
