scheduler,alpha,avg_latency_ms,avg_tardiness_ms,miss_ratio,n_jobs
EDF,10.0,125.0,0.0,0.0,1200
EDF,20.0,15150.0,14950.166666666666,0.9966666666666667,600
EDF,30.0,20175.0,19975.125,0.9975,400
EDF,40.0,22700.0,22500.0,0.9966666666666667,300
EDF,50.0,24225.0,24025.0,1.0,240
FIFO,10.0,125.0,0.0,0.0,1200
FIFO,20.0,15150.0,14950.166666666666,0.9966666666666667,600
FIFO,30.0,20175.0,19975.125,0.9975,400
FIFO,40.0,22700.0,22500.0,0.9966666666666667,300
FIFO,50.0,24225.0,24025.0,1.0,240
RM,10.0,125.0,0.0,0.0,1200
RM,20.0,15150.0,14950.166666666666,0.9966666666666667,600
RM,30.0,20175.0,19975.125,0.9975,400
RM,40.0,22700.0,22500.0,0.9966666666666667,300
RM,50.0,24225.0,24025.0,1.0,240
